CODE,NAME,SCIENTIFIC_NAME,TYPE_CODE,CAS_REGISTRY_NUM,CFR_SECTION_REF_CD,REPORTABLE_STR_DAT,REPORTABLE_END_DAT,STATE_CLASS_CODE
1084,"MOLYBDENUM, TOTAL",,IOC,7439-98-7,,,,IOC
1085,"THALLIUM, TOTAL",,IOC,7440-28-0,141.62,1/30/1991,12/31/1992,IOC
1086,"TIN, TOTAL",,IOC,7440-31-5,,,,IOC
1087,"TITANIUM, TOTAL",,IOC,7440-32-6,,,,IOC
1088,"VANADIUM, TOTAL",,RA,7440-62-2,,,,RAD
1089,MBAS - FOAMING AGENTS (SURFACTANTS),,WQ,,,,,WQP
1090,"OIL-GREASE, TOTAL",,OC,,,,,
1091,"BOD, 5-DAY, MG/L",,WQ,,,,,WQP
1092,TOD MG/L,,WQ,,,,,WQP
1093,"PHOSPHORUS, TOTAL",,IOC,7723-14-0,,,,IOC
1094,ASBESTOS,,IOC,1332-21-4,141.62,,,IOC
1095,ZINC,,IOC,7440-66-6,,,,IOC
1096,OZONE,,WQ,,,,,WQP
1901,CARBON DIOXIDE,,WQ,124-38-9,,,,WQP
1902,CARBON DISULFIDE,DITHIOCARBONIC ANHYDRIDE,OC,75-15-0,,,,
1905,COLOR,,WQ,,,,,WQP
1910,CORROSIVITY,,WQ,,,,,WQP
1914,CALCIUM HARDNESS,,WQ,,,,,WQP
1915,"HARDNESS, TOTAL (AS CAC03)",,WQ,,,,,WQP
1916,"HARDNESS, CARBONATE",,WQ,,,,,WQP
1917,"HARDNESS, NONCARBONATE",,WQ,,,,,WQP
1918,"HARDNESS, CALCIUM MAGNESIUM",,WQ,,,,,WQP
1919,CALCIUM,,WQ,7440-70-2,,,,WQP
1920,ODOR,,WQ,,,,,WQP
1925,PH,,WQ,,,,,WQP
1927,"ALKALINITY, TOTAL",,WQ,,,,,WQP
1928,"ALKALINITY, BICARBONATE",,WQ,,,,,WQP
1929,"ALKALINITY, CARBONATE",,WQ,,,,,WQP
1930,TDS,,WQ,,,,,WQP
1931,"ALKALINITY, PHENOLPHTHALEIN",,WQ,,,,,WQP
1993,STABILITY INDEX,,WQ,,,,,WQP
1994,AGGRESSIVE INDEX,,WQ,,,,,WQP
1995,SCALE FORMING,,WQ,,,,,WQP
1996,TEMPERATURE (CENTIGRADE),,WQ,,,,,WQP
1997,LANGELIER INDEX (PH(S)),,WQ,,,,,WQP
1998,SATURATION INDEX,,WQ,,,,,WQP
1999,NOTE:  (RESERVED BY MSIS),,OT,,,,,
2***,ALL NIPDWR ORGANIC CONTAMINANTS,,GC,,,,,
2004,ALACHLOR ESA,,OC,15972-60-8,,,,SOC
2005,ENDRIN,,OC,72-20-8,141.61.c,,,SOC
2006,DESETHYLATRAZINE,,OC,6190-65-4,,,,SOC
2007,DES-ISOPROPYL-ATRAZINE,,OC,1007-28-9,,,,SOC
2010,BHC-GAMMA,BHC-GAMMA,OC,58-89-9,141.61.c,,,SOC
2015,METHOXYCHLOR,,OC,72-43-5,141.61.c,,,SOC
2020,TOXAPHENE,,OC,8001-35-2,141.61.c,,,SOC
2021,CARBARYL,,OC,63-25-2,141.40.n,1/30/1991,,SOC
2022,METHOMYL,,OC,16752-77-5,141.40.n,1/30/1991,,SOC
2023,BAYGON,,OC,114-26-1,,,,SOC
2024,METHIOCARB,,OC,2032-65-7,,,,SOC
2027,ACETOCHLOR,,OC,34256-82-1,,,,SOC
2028,PARAQUAT,,OC,4685-14-7,,,,SOC
2029,PROMETON,P-CYMENE,OC,1610-18-0,,,,SOC
2030,P-ISOPROPYLTOLUENE,P-ISOPROPYLMETHYLBENZENE,OC,99-87-6,141.40.j,1/1/1988,,SOC
2031,DALAPON,,OC,75-99-0,141.61.c,1/30/1991,12/31/1992,SOC
2032,DIQUAT,,OC,2764-72-9,141.61.c,1/30/1991,12/31/1992,SOC
2033,ENDOTHALL,,OC,145-73-3,141.61.c,1/30/1991,12/31/1992,SOC
2034,GLYPHOSATE,,OC,1071-83-6,141.61.c,1/30/1991,12/31/1992,SOC
2035,DI(2-ETHYLHEXYL) ADIPATE,BIS(2-ETHYLHEXYL) ADIPATE,OC,103-23-1,141.61.c,1/30/1991,12/31/1992,SOC
2036,OXAMYL,,OC,23135-22-0,141.61.c,1/30/1991,12/31/1992,SOC
2037,SIMAZINE,,OC,122-34-9,141.61.c,1/30/1991,12/31/1992,SOC
2038,PAH'S,,OC,130498-29-2,,,,SOC
2039,DI(2-ETHYLHEXYL) PHTHALATE,BIS(2-ETHYLHEXYL) PHTHALATE,OC,117-81-7,141.61.c,1/30/1991,12/31/1992,SOC
2040,PICLORAM,,OC,1918-02-1,141.61.c,1/30/1991,12/31/1992,SOC
2041,DINOSEB,,OC,88-85-7,141.61.c,1/30/1991,12/31/1992,SOC
2042,HEXACHLOROCYCLOPENTADIENE,,OC,77-47-4,141.61.c,1/30/1991,12/31/1992,SOC
2043,ALDICARB SULFOXIDE,,OC,1646-87-3,141.61.c,5/27/1992,,SOC
2044,ALDICARB SULFONE,,OC,1646-88-4,141.61.c,5/27/1992,,SOC
2045,METOLACHLOR,,OC,51218-45-2,141.40.n,1/30/1991,,SOC
2046,CARBOFURAN,,OC,1563-66-2,141.61.c,,,SOC
2047,ALDICARB,,OC,116-06-3,141.61.c,5/27/1992,,SOC
2048,HYPOCHLORITE ION,,OC,14380-61-1,,,,SOC
2049,"1,4-DIOXANE",,OC,123-91-1,,,,SOC
2050,ATRAZINE,,OC,1912-24-9,141.61.c,,,SOC
2051,LASSO,LASSO,OC,15972-60-8,141.61.c,,,SOC
2052,EPTC,EPTAM,OC,759-94-4,,,,SOC
2053,SUTAN,SUTAN,OC,2008-41-5,,,,SOC
2054,CYANAZINE,BLADEX,OC,21725-46-2,,,,SOC
2055,TRIFLURALIN,,OC,1582-09-8,,,,SOC
2056,SPECTRACIDE,SPECTRACIDE,OC,333-41-5,,,,SOC
2057,CHLOROPYRIFOS,LORSBAN,OC,2921-88-2,,,,SOC
2058,MALATHION,,OC,121-75-5,,,,SOC
2059,GUTHION,GUTHION,OC,86-50-0,,,,SOC
2060,ISOFENPHOS,OLFANOL,OC,25311-71-1,,,,SOC
2061,TRITHION,,OC,786-19-6,,,,SOC
2062,ETHION,ETHYLENE THIOUREA,OC,563-12-2,,,,SOC
2063,"2,3,7,8-TCDD",,OC,1746-01-6,141.61.c,1/30/1991,12/31/1992,SOC
2064,PARATHION (ETHYL),ETHYL PARATHION,OC,56-38-2,,,,SOC
2065,HEPTACHLOR,,OC,76-44-8,141.61.c,,,SOC
2066,3-HYDROXYCARBOFURAN,,OC,16655-82-6,141.40.n,1/30/1991,,SOC
2067,HEPTACHLOR EPOXIDE,,OC,1024-57-3,141.61.c,,,SOC
2068,ENDOSULFAN I,,OC,959-98-8,,,,SOC
2069,PARA-PARA DDE,,OC,72-55-9,,,,SOC
2070,DIELDRIN,,OC,60-57-1,141.40.n,1/30/1991,,SOC
2071,PARA-PARA DDD,,OC,72-54-8,,,,SOC
2072,ENDOSULFAN II,,OC,33213-65-9,,,,SOC
2073,PHOSDRIN,,OC,7786-34-7,,,,SOC
2074,ENDOSULFAN SULFATE,,OC,1031-07-8,,,,SOC
2075,PARA-PARA DDT,,OC,50-29-3,,,,SOC
